m,n,R,s,seed,ker_dim,s_val,decomp_error,w
2,15,14,2,0,2,0.0031961401681740447,3.358707583171003e-14,2.220446049250313e-16
2,15,14,3,0,3,0.005413034374806043,1.2488655952814258e-14,1.1102230246251565e-16
2,15,14,4,0,4,0.0028399645032275234,3.524594541693212e-14,2.220446049250313e-16
2,15,14,5,0,5,0.0003819460469608969,2.859755274174468e-13,0.0
2,15,14,6,0,6,0.0009670822861806646,1.090830174694453e-12,4.440892098500626e-16
2,15,14,7,0,7,0.0022184971484304236,1.4219651843665652e-13,1.1102230246251565e-16
2,15,14,8,0,8,0.0016348118135318752,2.045006254610705e-13,2.220446049250313e-16
2,15,14,9,0,9,0.005566852538090277,1.7705282992547132e-13,1.1102230246251565e-16
2,15,14,10,0,10,0.0014431973474164296,2.2557973289326735e-13,1.1102230246251565e-16
2,15,14,11,0,11,4.247277954268214e-05,1.5642007912099394e-12,3.3306690738754696e-16
2,15,14,12,0,12,0.00023380841729446586,5.877281287101537e-13,3.3306690738754696e-16
2,15,14,13,0,13,0.0018880338744148917,1.4704359418069153e-13,0.0
2,15,14,14,0,14,0.002258050778935646,1.2647348303243402e-13,3.3306690738754696e-16
2,15,15,15,0,15,0.00012032881977602899,1.5971413574137488e-12,2.220446049250313e-16
3,9,14,0,0,0,0.004941107136809106,,
3,9,14,1,0,1,0.011358231244139951,2.3794503543543402e-15,0.0
3,9,14,2,0,2,0.011909529238428057,4.56140801942962e-14,0.0
3,9,14,3,0,3,0.015709943348469254,3.502691387819921e-14,1.1102230246251565e-16
3,9,14,4,0,4,0.006135494164638264,7.372696730275017e-13,1.1102230246251565e-16
3,9,14,5,0,5,0.010934901875105022,2.7360733994803824e-14,4.440892098500626e-16
3,9,14,6,0,6,0.010486766940537115,3.1042684436824036e-14,3.3306690738754696e-16
3,9,14,7,0,7,0.009560684601922532,2.052439414158987e-13,1.1102230246251565e-16
3,9,14,8,0,8,0.009084101578021952,8.702284292842018e-14,2.220446049250313e-16
3,9,14,9,0,9,0.013657270194219,4.0172604602886187e-13,4.440892098500626e-16
3,9,14,10,0,10,0.009323414301523215,1.4640283815770788e-13,1.1102230246251565e-16
3,9,14,11,0,11,0.009777556359373246,1.6499161131771256e-12,2.220446049250313e-16
3,9,15,12,0,12,0.0009166944436812791,8.289973142633667e-13,2.220446049250313e-16
3,9,15,13,0,13,0.00045328007795914687,5.784575289426518e-12,2.220446049250313e-16
