m,n,R,s,seed,ker_dim,s_val,decomp_error,w
12,,58,12,0,12,0.0024160311257026786,7.993831855286492e-12,1.1102230246251565e-16
12,,58,13,0,13,0.0037797307173988593,1.2436249210326192e-11,3.3306690738754696e-16
12,,58,14,0,14,0.003703950362181388,2.253669415511837e-12,3.3306690738754696e-16
12,,58,15,0,15,0.0025306473904187017,6.173403461846547e-11,4.440892098500626e-16
12,,58,16,0,16,0.004014142077354268,6.224734520427513e-11,4.440892098500626e-16
12,,58,17,0,17,0.003631118869454801,2.971686962380617e-11,4.440892098500626e-16
12,,58,18,0,18,0.003670326542952628,1.1710045914155782e-11,4.440892098500626e-16
12,,58,19,0,19,0.0038085699086184413,6.268205354133928e-11,4.440892098500626e-16
12,,58,20,0,20,0.005122722905343893,5.473276932958227e-11,5.551115123125783e-16
12,,58,21,0,21,0.0037569326909024214,1.9451429914019877e-11,6.661338147750939e-16
12,,58,22,0,22,0.0032634329054287074,1.8906614932361257e-11,4.440892098500626e-16
12,,58,23,0,23,0.004445162153354655,4.58727511718389e-11,3.3306690738754696e-16
12,,58,24,0,24,0.004273508800297662,2.0542733274624873e-11,3.3306690738754696e-16
12,,58,25,0,25,0.005351163839219449,1.0819623256408397e-10,3.3306690738754696e-16
12,,58,26,0,26,0.004780607085681976,2.431187803713988e-10,4.440892098500626e-16
12,,58,27,0,27,0.004631514767083673,1.8049173866869172e-10,4.440892098500626e-16
12,,58,28,0,28,0.003949421905088483,1.0219949400191041e-08,5.551115123125783e-16
12,,58,29,0,29,0.005742022961603261,1.2697455780329563e-10,6.661338147750939e-16
12,,58,30,0,30,0.00474971361577335,2.275837896454157e-10,4.440892098500626e-16
12,,58,31,0,31,0.0045903436255678755,2.1979881515755544e-10,4.440892098500626e-16
12,,58,32,0,32,0.004633330998568229,1.9893397642645544e-11,5.551115123125783e-16
12,,58,33,0,33,0.005535035186986563,4.420520437735226e-11,5.551115123125783e-16
12,,58,34,0,34,0.006330223511008538,3.5308789072957845e-09,3.3306690738754696e-16
12,,58,35,0,35,0.005918698907678502,6.522250815006528e-11,5.551115123125783e-16
12,,58,36,0,36,0.004289196700868048,5.829064215559834e-11,2.220446049250313e-16
12,,58,37,0,37,0.007222828139511673,1.7248277694416454e-10,7.771561172376096e-16
12,,58,38,0,38,0.004383573938920232,5.8005914338485637e-11,5.551115123125783e-16
12,,58,39,0,39,0.004279544667040966,7.589674521681419e-11,4.440892098500626e-16
